简历ID,应聘岗位,所属部门,招聘渠道,简历投递时间,简历筛选结果,筛选完成时间,一面时间,一面面试官,一面结果,二面时间,二面面试官,二面结果,终面时间,终面面试官,终面结果,Offer发放时间,候选人期望薪资,Offer定薪,是否接受Offer,入职时间,是否到岗
RES01867,产品运营,运营部,BOSS直聘,2024-12-05,不通过,,,,,,,,,,,,,,,,否
RES01868,前端开发工程师,技术部,前程无忧,2024-07-25,通过,2024-07-27,2024-08-03,杜伟,通过,2024-08-06,彭楠,不通过,,,,,,,,,否
RES01869,前端开发工程师,技术部,智联招聘,2024-05-13,通过,2024-05-18,2024-05-20,周梅,通过,2024-05-25,李兵,通过,2024-05-26,郭雷,通过,2024-05-28,10k,10913.0,是,2024-06-26,是
RES01870,前端开发工程师,技术部,智联招聘,2024-12-14,不通过,,,,,,,,,,,,,,,,否
RES01871,数据分析师,产品部,BOSS直聘,2024-06-30,不通过,,,,,,,,,,,,,,,,否
RES01872,测试工程师,技术部,BOSS直聘,2024-11-27,不通过,,,,,,,,,,,,,,,,否
RES01873,HRBP,人事部,内部推荐,2024-03-01,不通过,,,,,,,,,,,,,,,,否
RES01874,财务会计,财务部,校园招聘,2024-01-23,不通过,,,,,,,,,,,,,,,,否
RES01875,测试工程师,技术部,BOSS直聘,2024-05-31,不通过,,,,,,,,,,,,,,,,否
RES01876,HRBP,人事部,BOSS直聘,2024-05-25,不通过,,,,,,,,,,,,,,,,否
RES01877,前端开发工程师,技术部,BOSS直聘,2024-04-23,不通过,,,,,,,,,,,,,,,,否
RES01878,产品运营,运营部,前程无忧,2025-06-22,不通过,,,,,,,,,,,,,,,,否
RES01879,产品经理,产品部,猎聘,2025-01-08,不通过,,,,,,,,,,,,,,,,否
RES01880,数据分析师,产品部,智联招聘,2024-03-15,通过,2024-03-16,2024-03-25,徐飞,不通过,,,,,,,,,,,,否
RES01881,产品运营,运营部,猎聘,2025-01-17,通过,2025-01-21,2025-01-24,张秀荣,通过,2025-01-25,王婷婷,不通过,,,,,,,,,否
RES01882,销售代表,销售部,猎聘,2025-02-09,通过,2025-02-13,2025-02-18,唐波,通过,2025-02-22,苏云,通过,2025-02-23,张红,通过,2025-02-26,9k,9962.0,否,,否
RES01883,财务会计,财务部,校园招聘,2024-04-13,不通过,,,,,,,,,,,,,,,,否
RES01884,客服主管,客服部,BOSS直聘,2024-12-10,通过,2024-12-15,2024-12-18,高华,通过,2024-12-21,邱燕,通过,2024-12-26,韩燕,通过,2024-12-29,23k,23653.0,否,,否
RES01885,数据分析师,产品部,BOSS直聘,2024-11-05,通过,2024-11-08,2024-11-11,张云,通过,2024-11-14,宋娜,不通过,,,,,,,,,否
RES01886,前端开发工程师,技术部,BOSS直聘,2024-11-26,通过,2024-12-01,2024-11-29,张凯,通过,2024-12-03,张鹏,通过,2024-12-16,钱淑兰,不通过,,,,,,否
RES01887,行政专员,人事部,校园招聘,2024-05-19,不通过,,,,,,,,,,,,,,,,否
RES01888,产品经理,产品部,内部推荐,2024-06-10,通过,2024-06-14,2024-06-18,谭凤兰,通过,2024-06-23,武兰英,通过,2024-06-30,庄艳,通过,2024-06-27,22k,21933.0,是,2024-08-01,是
RES01889,客服主管,客服部,前程无忧,2025-03-23,通过,2025-03-27,2025-03-28,梁英,通过,2025-03-31,冉婷,不通过,,,,,,,,,否
RES01890,市场推广,市场部,BOSS直聘,2025-05-13,不通过,,,,,,,,,,,,,,,,否
RES01891,测试工程师,技术部,BOSS直聘,2024-11-20,不通过,,,,,,,,,,,,,,,,否
RES01892,产品运营,运营部,BOSS直聘,2024-06-27,不通过,,,,,,,,,,,,,,,,否
RES01893,产品经理,产品部,前程无忧,2024-12-31,通过,2025-01-01,2025-01-08,罗小红,通过,2025-01-15,廖柳,通过,2025-01-13,许强,通过,2025-01-20,9k,9132.0,否,,否
RES01894,市场推广,市场部,BOSS直聘,2024-08-16,不通过,,,,,,,,,,,,,,,,否
RES01895,HRBP,人事部,BOSS直聘,2024-06-28,通过,2024-07-03,2024-07-01,刘明,候选人放弃,,,,,,,,,,,,否
RES01896,市场推广,市场部,内部推荐,2025-01-22,不通过,,,,,,,,,,,,,,,,否
RES01897,客服主管,客服部,BOSS直聘,2024-11-10,不通过,,,,,,,,,,,,,,,,否
RES01898,财务会计,财务部,智联招聘,2024-10-28,通过,2024-11-02,2024-11-03,赵凤兰,通过,2024-11-08,刘倩,不通过,,,,,,,,,否
RES01899,产品运营,运营部,BOSS直聘,2024-05-10,不通过,,,,,,,,,,,,,,,,否
RES01900,产品经理,产品部,内部推荐,2024-06-30,通过,2024-07-02,2024-07-05,刘桂芳,不通过,,,,,,,,,,,,否
RES01901,市场推广,市场部,前程无忧,2024-01-02,通过,2024-01-03,2024-01-08,包成,候选人放弃,,,,,,,,,,,,否
RES01902,产品运营,运营部,校园招聘,2025-02-04,通过,2025-02-05,2025-02-10,邓敏,候选人放弃,,,,,,,,,,,,否
RES01903,产品经理,产品部,前程无忧,2024-02-03,不通过,,,,,,,,,,,,,,,,否
RES01904,测试工程师,技术部,校园招聘,2024-07-05,通过,2024-07-08,2024-07-11,武莹,候选人放弃,,,,,,,,,,,,否
RES01905,产品经理,产品部,校园招聘,2024-11-21,不通过,,,,,,,,,,,,,,,,否
RES01906,测试工程师,技术部,前程无忧,2024-08-14,不通过,,,,,,,,,,,,,,,,否
RES01907,客服主管,客服部,校园招聘,2024-04-16,不通过,,,,,,,,,,,,,,,,否
RES01908,产品运营,运营部,智联招聘,2025-05-23,通过,2025-05-26,2025-06-02,赵瑜,不通过,,,,,,,,,,,,否
RES01909,客服主管,客服部,智联招聘,2024-05-24,不通过,,,,,,,,,,,,,,,,否
RES01910,测试工程师,技术部,BOSS直聘,2024-12-05,不通过,,,,,,,,,,,,,,,,否
RES01911,市场推广,市场部,前程无忧,2024-03-20,不通过,,,,,,,,,,,,,,,,否
RES01912,销售代表,销售部,猎聘,2024-08-31,不通过,,,,,,,,,,,,,,,,否
RES01913,财务会计,财务部,内部推荐,2024-12-21,通过,2024-12-23,2024-12-28,林楠,通过,2025-01-04,陈建,通过,2025-01-08,王秀梅,通过,2025-01-06,13k,13675.0,是,2025-01-23,是
RES01914,销售代表,销售部,BOSS直聘,2024-11-23,不通过,,,,,,,,,,,,,,,,否
RES01915,Java开发工程师,技术部,智联招聘,2024-06-20,通过,2024-06-24,2024-06-29,冷帅,不通过,,,,,,,,,,,,否
RES01916,前端开发工程师,技术部,BOSS直聘,2024-03-31,不通过,,,,,,,,,,,,,,,,否
RES01917,数据分析师,产品部,猎聘,2024-12-09,通过,2024-12-12,2024-12-18,张娜,通过,2024-12-21,杨岩,通过,2024-12-26,黄玉兰,通过,2024-12-30,20k,22111.0,是,2025-01-16,是
RES01918,销售代表,销售部,BOSS直聘,2025-04-02,通过,2025-04-04,2025-04-05,胡浩,通过,2025-04-15,张凤兰,通过,2025-04-16,张瑞,通过,2025-04-25,14k,15581.0,是,2025-06-01,是
RES01919,HRBP,人事部,校园招聘,2024-01-12,不通过,,,,,,,,,,,,,,,,否
RES01920,财务会计,财务部,BOSS直聘,2024-09-28,不通过,,,,,,,,,,,,,,,,否
RES01921,前端开发工程师,技术部,BOSS直聘,2024-08-02,通过,2024-08-03,2024-08-10,曾雪梅,通过,2024-08-17,李宁,不通过,,,,,,,,,否
RES01922,市场推广,市场部,校园招聘,2024-09-12,通过,2024-09-13,2024-09-18,姜秀华,不通过,,,,,,,,,,,,否
RES01923,客服主管,客服部,智联招聘,2024-03-10,不通过,,,,,,,,,,,,,,,,否
RES01924,HRBP,人事部,BOSS直聘,2024-12-24,不通过,,,,,,,,,,,,,,,,否
RES01925,前端开发工程师,技术部,前程无忧,2024-09-19,不通过,,,,,,,,,,,,,,,,否
RES01926,前端开发工程师,技术部,BOSS直聘,2024-04-20,不通过,,,,,,,,,,,,,,,,否
RES01927,产品经理,产品部,猎头,2024-01-02,通过,2024-01-04,2024-01-11,李桂芳,不通过,,,,,,,,,,,,否
RES01928,Java开发工程师,技术部,前程无忧,2024-02-19,通过,2024-02-21,2024-02-22,宋桂兰,通过,2024-03-05,周秀芳,不通过,,,,,,,,,否
RES01929,客服主管,客服部,BOSS直聘,2025-01-30,通过,2025-02-03,2025-02-04,郁玉梅,通过,2025-02-06,黄娜,通过,2025-02-14,宫萍,通过,2025-02-14,16k,17773.0,否,,否
RES01930,市场推广,市场部,前程无忧,2025-03-24,不通过,,,,,,,,,,,,,,,,否
RES01931,数据分析师,产品部,BOSS直聘,2025-03-05,不通过,,,,,,,,,,,,,,,,否
RES01932,产品运营,运营部,内部推荐,2024-06-19,不通过,,,,,,,,,,,,,,,,否
RES01933,销售代表,销售部,校园招聘,2025-02-27,不通过,,,,,,,,,,,,,,,,否
RES01934,财务会计,财务部,校园招聘,2025-05-19,不通过,,,,,,,,,,,,,,,,否
RES01935,Java开发工程师,技术部,智联招聘,2025-01-22,通过,2025-01-27,2025-01-31,陈英,候选人放弃,,,,,,,,,,,,否
RES01936,产品经理,产品部,智联招聘,2024-12-25,通过,2024-12-30,2024-12-29,沈荣,通过,2025-01-07,韩瑞,不通过,,,,,,,,,否
RES01937,产品经理,产品部,BOSS直聘,2025-01-19,通过,2025-01-24,2025-01-28,王雷,不通过,,,,,,,,,,,,否
RES01938,前端开发工程师,技术部,猎聘,2024-04-13,不通过,,,,,,,,,,,,,,,,否
RES01939,行政专员,人事部,前程无忧,2025-05-05,通过,2025-05-08,2025-05-09,许洋,通过,2025-05-19,吴倩,通过,2025-05-23,李凯,通过,2025-05-21,15k,16708.0,是,2025-06-19,是
RES01940,销售代表,销售部,智联招聘,2024-08-18,不通过,,,,,,,,,,,,,,,,否
RES01941,Java开发工程师,技术部,校园招聘,2024-06-15,不通过,,,,,,,,,,,,,,,,否
RES01942,测试工程师,技术部,BOSS直聘,2025-04-07,不通过,,,,,,,,,,,,,,,,否
RES01943,前端开发工程师,技术部,BOSS直聘,2024-03-16,不通过,,,,,,,,,,,,,,,,否
RES01944,Java开发工程师,技术部,BOSS直聘,2024-02-04,不通过,,,,,,,,,,,,,,,,否
RES01945,HRBP,人事部,BOSS直聘,2024-10-28,不通过,,,,,,,,,,,,,,,,否
RES01946,客服主管,客服部,BOSS直聘,2024-01-21,不通过,,,,,,,,,,,,,,,,否
RES01947,数据分析师,产品部,前程无忧,2024-11-22,不通过,,,,,,,,,,,,,,,,否
RES01948,财务会计,财务部,智联招聘,2024-09-24,不通过,,,,,,,,,,,,,,,,否
RES01949,销售代表,销售部,BOSS直聘,2024-04-17,不通过,,,,,,,,,,,,,,,,否
RES01950,测试工程师,技术部,内部推荐,2024-03-16,通过,2024-03-18,2024-03-26,徐建平,通过,2024-03-27,尹玉珍,通过,2024-03-29,邵颖,通过,2024-04-01,26k,24634.0,否,,否
RES01951,产品经理,产品部,BOSS直聘,2024-12-16,不通过,,,,,,,,,,,,,,,,否
RES01952,测试工程师,技术部,猎聘,2024-06-23,通过,2024-06-25,2024-07-03,杨玉兰,通过,2024-07-03,王楠,通过,2024-07-12,刘晶,通过,2024-07-12,21k,20684.0,是,2024-07-27,是
RES01953,测试工程师,技术部,智联招聘,2025-01-19,不通过,,,,,,,,,,,,,,,,否
RES01954,行政专员,人事部,前程无忧,2024-06-13,不通过,,,,,,,,,,,,,,,,否
RES01955,市场推广,市场部,校园招聘,2024-03-17,不通过,,,,,,,,,,,,,,,,否
RES01956,产品运营,运营部,BOSS直聘,2024-04-05,通过,2024-04-07,2024-04-15,许娟,不通过,,,,,,,,,,,,否
RES01957,客服主管,客服部,前程无忧,2024-12-12,不通过,,,,,,,,,,,,,,,,否
RES01958,销售代表,销售部,校园招聘,2025-05-09,不通过,,,,,,,,,,,,,,,,否
RES01959,HRBP,人事部,前程无忧,2024-02-01,不通过,,,,,,,,,,,,,,,,否
RES01960,销售代表,销售部,BOSS直聘,2025-03-17,不通过,,,,,,,,,,,,,,,,否
RES01961,市场推广,市场部,智联招聘,2024-06-17,不通过,,,,,,,,,,,,,,,,否
RES01962,测试工程师,技术部,猎聘,2025-03-20,不通过,,,,,,,,,,,,,,,,否
RES01963,数据分析师,产品部,校园招聘,2024-06-09,不通过,,,,,,,,,,,,,,,,否
RES01964,财务会计,财务部,BOSS直聘,2024-02-24,通过,2024-02-25,2024-02-28,郑凤兰,通过,2024-03-02,何燕,通过,2024-03-08,阎英,通过,2024-03-12,14k,14286.0,否,,否
RES01965,财务会计,财务部,BOSS直聘,2024-04-13,通过,2024-04-17,2024-04-23,赵秀云,通过,2024-04-28,杨旭,通过,2024-04-25,蒲丽,通过,2024-05-02,11k,11699.0,是,2024-06-11,是
RES01966,Java开发工程师,技术部,智联招聘,2024-12-05,通过,2024-12-08,2024-12-10,李超,不通过,,,,,,,,,,,,否
RES01967,前端开发工程师,技术部,BOSS直聘,2024-07-29,通过,2024-08-03,2024-08-06,乔佳,候选人放弃,,,,,,,,,,,,否
RES01968,财务会计,财务部,BOSS直聘,2024-07-13,不通过,,,,,,,,,,,,,,,,否
RES01969,行政专员,人事部,BOSS直聘,2025-02-23,通过,2025-02-27,2025-03-03,张琴,通过,2025-03-04,李杨,不通过,,,,,,,,,否
RES01970,产品运营,运营部,BOSS直聘,2024-09-28,通过,2024-10-02,2024-10-07,王俊,通过,2024-10-12,王秀英,通过,2024-10-10,赵秀荣,通过,2024-10-17,30k,29049.0,是,2024-11-14,是
RES01971,HRBP,人事部,BOSS直聘,2024-10-15,通过,2024-10-20,2024-10-20,袁建平,通过,2024-10-30,周淑兰,通过,2024-11-01,何杨,不通过,,,,,,否
RES01972,数据分析师,产品部,校园招聘,2024-10-31,不通过,,,,,,,,,,,,,,,,否
RES01973,测试工程师,技术部,BOSS直聘,2024-08-31,不通过,,,,,,,,,,,,,,,,否
RES01974,市场推广,市场部,BOSS直聘,2024-04-08,通过,2024-04-12,2024-04-16,余欢,不通过,,,,,,,,,,,,否
RES01975,产品经理,产品部,BOSS直聘,2024-02-20,不通过,,,,,,,,,,,,,,,,否
RES01976,财务会计,财务部,校园招聘,2025-02-06,不通过,,,,,,,,,,,,,,,,否
RES01977,数据分析师,产品部,内部推荐,2025-05-17,通过,2025-05-22,2025-05-23,陈雪,通过,2025-05-26,张莹,通过,2025-06-01,潘秀荣,通过,2025-06-05,13k,13186.0,是,2025-07-11,是
RES01978,产品经理,产品部,内部推荐,2024-06-06,不通过,,,,,,,,,,,,,,,,否
RES01979,数据分析师,产品部,BOSS直聘,2024-02-25,不通过,,,,,,,,,,,,,,,,否
RES01980,财务会计,财务部,内部推荐,2025-01-04,通过,2025-01-09,2025-01-14,魏淑兰,通过,2025-01-11,李凤英,通过,2025-01-19,乐彬,通过,2025-01-20,34k,35112.0,是,2025-02-18,是
RES01981,测试工程师,技术部,智联招聘,2024-01-04,不通过,,,,,,,,,,,,,,,,否
RES01982,数据分析师,产品部,BOSS直聘,2025-03-13,不通过,,,,,,,,,,,,,,,,否
RES01983,测试工程师,技术部,前程无忧,2024-03-30,通过,2024-04-04,2024-04-09,刘涛,不通过,,,,,,,,,,,,否
RES01984,数据分析师,产品部,内部推荐,2024-10-28,通过,2024-11-02,2024-11-06,廖博,通过,2024-11-10,裴秀英,通过,2024-11-14,李涛,通过,2024-11-16,25k,24185.0,是,2024-12-16,是
RES01985,行政专员,人事部,内部推荐,2025-05-06,不通过,,,,,,,,,,,,,,,,否
RES01986,产品经理,产品部,校园招聘,2024-07-23,不通过,,,,,,,,,,,,,,,,否
RES01987,前端开发工程师,技术部,校园招聘,2024-04-09,不通过,,,,,,,,,,,,,,,,否
RES01988,测试工程师,技术部,BOSS直聘,2024-01-27,不通过,,,,,,,,,,,,,,,,否
RES01989,HRBP,人事部,智联招聘,2024-07-30,不通过,,,,,,,,,,,,,,,,否
RES01990,产品运营,运营部,BOSS直聘,2024-06-23,不通过,,,,,,,,,,,,,,,,否
RES01991,行政专员,人事部,校园招聘,2024-10-25,不通过,,,,,,,,,,,,,,,,否
RES01992,前端开发工程师,技术部,BOSS直聘,2024-03-24,不通过,,,,,,,,,,,,,,,,否
RES01993,产品运营,运营部,校园招聘,2025-04-29,不通过,,,,,,,,,,,,,,,,否
RES01994,前端开发工程师,技术部,智联招聘,2024-04-28,不通过,,,,,,,,,,,,,,,,否
RES01995,前端开发工程师,技术部,智联招聘,2024-11-11,不通过,,,,,,,,,,,,,,,,否
RES01996,前端开发工程师,技术部,BOSS直聘,2025-02-11,通过,2025-02-12,2025-02-19,张玉,不通过,,,,,,,,,,,,否
RES01997,Java开发工程师,技术部,智联招聘,2025-04-27,不通过,,,,,,,,,,,,,,,,否
RES01998,产品运营,运营部,校园招聘,2025-05-15,不通过,,,,,,,,,,,,,,,,否
RES01999,前端开发工程师,技术部,BOSS直聘,2024-09-28,不通过,,,,,,,,,,,,,,,,否
RES02000,客服主管,客服部,智联招聘,2024-04-03,不通过,,,,,,,,,,,,,,,,否
RES02001,客服主管,客服部,BOSS直聘,2025-01-31,不通过,,,,,,,,,,,,,,,,否
RES02002,数据分析师,产品部,智联招聘,2024-07-08,不通过,,,,,,,,,,,,,,,,否
RES02003,数据分析师,产品部,BOSS直聘,2025-01-14,通过,2025-01-15,2025-01-22,董欣,通过,2025-01-21,周想,通过,2025-01-31,王冬梅,通过,2025-01-30,20k,21757.0,是,2025-02-13,是
RES02004,财务会计,财务部,BOSS直聘,2025-01-25,通过,2025-01-28,2025-01-28,王桂香,不通过,,,,,,,,,,,,否
RES02005,HRBP,人事部,校园招聘,2025-01-13,不通过,,,,,,,,,,,,,,,,否
RES02006,测试工程师,技术部,智联招聘,2024-07-10,不通过,,,,,,,,,,,,,,,,否
RES02007,产品经理,产品部,BOSS直聘,2025-04-01,通过,2025-04-02,2025-04-11,李娟,通过,2025-04-15,李瑞,不通过,,,,,,,,,否
RES02008,测试工程师,技术部,前程无忧,2024-02-15,不通过,,,,,,,,,,,,,,,,否
RES02009,财务会计,财务部,BOSS直聘,2024-09-26,不通过,,,,,,,,,,,,,,,,否
RES02010,Java开发工程师,技术部,BOSS直聘,2025-03-26,不通过,,,,,,,,,,,,,,,,否
RES02011,客服主管,客服部,前程无忧,2025-04-21,不通过,,,,,,,,,,,,,,,,否
RES02012,产品运营,运营部,BOSS直聘,2024-09-26,不通过,,,,,,,,,,,,,,,,否
RES02013,HRBP,人事部,猎聘,2024-08-19,通过,2024-08-20,2024-08-24,曾秀荣,候选人放弃,,,,,,,,,,,,否
RES02014,HRBP,人事部,前程无忧,2024-10-02,不通过,,,,,,,,,,,,,,,,否
RES02015,数据分析师,产品部,内部推荐,2024-03-04,通过,2024-03-06,2024-03-08,靳涛,通过,2024-03-11,牛刚,通过,2024-03-24,程军,通过,2024-03-23,14k,14807.0,是,2024-04-13,是
RES02016,产品经理,产品部,校园招聘,2024-06-03,不通过,,,,,,,,,,,,,,,,否
RES02017,产品运营,运营部,BOSS直聘,2024-04-09,通过,2024-04-11,2024-04-17,连春梅,候选人放弃,,,,,,,,,,,,否
RES02018,数据分析师,产品部,智联招聘,2024-03-28,不通过,,,,,,,,,,,,,,,,否
RES02019,市场推广,市场部,智联招聘,2024-12-18,不通过,,,,,,,,,,,,,,,,否
RES02020,产品经理,产品部,BOSS直聘,2025-02-27,不通过,,,,,,,,,,,,,,,,否
RES02021,HRBP,人事部,内部推荐,2024-08-20,不通过,,,,,,,,,,,,,,,,否
RES02022,Java开发工程师,技术部,内部推荐,2024-03-03,不通过,,,,,,,,,,,,,,,,否
RES02023,行政专员,人事部,前程无忧,2025-01-31,通过,2025-02-05,2025-02-07,董飞,通过,2025-02-14,满洋,通过,2025-02-15,杜婷婷,通过,2025-02-23,21k,20009.0,否,,否
RES02024,行政专员,人事部,前程无忧,2025-06-19,不通过,,,,,,,,,,,,,,,,否
RES02025,客服主管,客服部,BOSS直聘,2025-03-04,通过,2025-03-07,2025-03-12,李鹏,通过,2025-03-12,董云,通过,2025-03-23,李鹏,通过,2025-03-20,11k,12796.0,是,2025-04-05,是
RES02026,HRBP,人事部,前程无忧,2025-05-01,不通过,,,,,,,,,,,,,,,,否
RES02027,Java开发工程师,技术部,内部推荐,2024-08-29,不通过,,,,,,,,,,,,,,,,否
RES02028,产品经理,产品部,前程无忧,2025-05-02,不通过,,,,,,,,,,,,,,,,否
RES02029,Java开发工程师,技术部,BOSS直聘,2024-11-02,不通过,,,,,,,,,,,,,,,,否
RES02030,销售代表,销售部,猎聘,2024-03-21,通过,2024-03-24,2024-03-27,陈秀芳,通过,2024-03-31,杨敏,通过,2024-04-04,王博,通过,2024-04-09,9k,9511.0,是,2024-04-28,是
RES02031,产品经理,产品部,智联招聘,2025-02-08,不通过,,,,,,,,,,,,,,,,否
RES02032,前端开发工程师,技术部,前程无忧,2024-02-05,通过,2024-02-07,2024-02-11,潘明,通过,2024-02-16,任小红,通过,2024-02-24,唐桂芳,通过,2024-02-24,11k,11005.0,是,2024-03-17,是
RES02033,产品经理,产品部,前程无忧,2025-05-29,不通过,,,,,,,,,,,,,,,,否
RES02034,客服主管,客服部,智联招聘,2025-06-13,不通过,,,,,,,,,,,,,,,,否
RES02035,数据分析师,产品部,猎聘,2024-05-30,不通过,,,,,,,,,,,,,,,,否
RES02036,行政专员,人事部,校园招聘,2024-05-03,通过,2024-05-08,2024-05-09,何宇,通过,2024-05-16,曾帅,不通过,,,,,,,,,否
RES02037,产品经理,产品部,BOSS直聘,2025-04-04,通过,2025-04-07,2025-04-11,张洋,通过,2025-04-14,姚建华,通过,2025-04-23,陈辉,通过,2025-04-23,9k,9791.0,是,2025-05-24,是
RES02038,数据分析师,产品部,校园招聘,2024-06-26,通过,2024-07-01,2024-07-05,刘华,通过,2024-07-03,田玉兰,不通过,,,,,,,,,否
RES02039,前端开发工程师,技术部,前程无忧,2024-06-20,不通过,,,,,,,,,,,,,,,,否
RES02040,销售代表,销售部,猎聘,2024-08-04,通过,2024-08-07,2024-08-09,张林,通过,2024-08-16,张想,通过,2024-08-17,江健,通过,2024-08-21,19k,18966.0,是,2024-09-08,是
RES02041,测试工程师,技术部,校园招聘,2024-07-16,不通过,,,,,,,,,,,,,,,,否
RES02042,测试工程师,技术部,智联招聘,2024-05-09,不通过,,,,,,,,,,,,,,,,否
RES02043,测试工程师,技术部,内部推荐,2024-02-13,通过,2024-02-17,2024-02-19,李婷婷,不通过,,,,,,,,,,,,否
RES02044,Java开发工程师,技术部,BOSS直聘,2025-03-09,通过,2025-03-12,2025-03-18,郑东,不通过,,,,,,,,,,,,否
RES02045,产品运营,运营部,BOSS直聘,2024-03-21,通过,2024-03-23,2024-03-25,郭金凤,候选人放弃,,,,,,,,,,,,否
RES02046,行政专员,人事部,猎聘,2025-03-21,不通过,,,,,,,,,,,,,,,,否
RES02047,Java开发工程师,技术部,校园招聘,2024-07-25,不通过,,,,,,,,,,,,,,,,否
RES02048,销售代表,销售部,校园招聘,2024-05-31,不通过,,,,,,,,,,,,,,,,否
RES02049,测试工程师,技术部,猎聘,2024-09-21,不通过,,,,,,,,,,,,,,,,否
RES02050,产品运营,运营部,前程无忧,2024-11-23,通过,2024-11-28,2024-11-30,谢丽华,通过,2024-12-08,李强,不通过,,,,,,,,,否
RES02051,HRBP,人事部,智联招聘,2024-03-09,通过,2024-03-14,2024-03-17,何欣,通过,2024-03-16,张强,不通过,,,,,,,,,否
RES02052,财务会计,财务部,猎头,2024-03-30,不通过,,,,,,,,,,,,,,,,否
RES02053,客服主管,客服部,智联招聘,2025-02-01,不通过,,,,,,,,,,,,,,,,否
RES02054,Java开发工程师,技术部,内部推荐,2025-02-10,不通过,,,,,,,,,,,,,,,,否
RES02055,数据分析师,产品部,前程无忧,2024-11-29,不通过,,,,,,,,,,,,,,,,否
RES02056,市场推广,市场部,前程无忧,2024-10-09,不通过,,,,,,,,,,,,,,,,否
RES02057,产品运营,运营部,智联招聘,2025-06-16,通过,2025-06-17,2025-06-21,易桂芳,通过,2025-06-24,卢磊,通过,2025-07-01,朱冬梅,通过,2025-07-07,10k,11445.0,是,2025-08-02,是
RES02058,HRBP,人事部,猎头,2025-04-14,通过,2025-04-18,2025-04-18,杨淑珍,通过,2025-04-27,王磊,通过,2025-05-03,赖杨,通过,2025-05-09,20k,21677.0,是,2025-06-07,是
RES02059,市场推广,市场部,前程无忧,2024-01-13,不通过,,,,,,,,,,,,,,,,否
RES02060,财务会计,财务部,校园招聘,2025-06-19,不通过,,,,,,,,,,,,,,,,否
RES02061,财务会计,财务部,BOSS直聘,2025-03-05,不通过,,,,,,,,,,,,,,,,否
RES02062,行政专员,人事部,前程无忧,2024-04-25,不通过,,,,,,,,,,,,,,,,否
RES02063,市场推广,市场部,猎聘,2025-02-28,通过,2025-03-03,2025-03-09,邓鑫,候选人放弃,,,,,,,,,,,,否
RES02064,行政专员,人事部,内部推荐,2024-06-02,通过,2024-06-07,2024-06-12,祝兵,通过,2024-06-09,高建国,通过,2024-06-16,邓敏,通过,2024-06-20,20k,19541.0,是,2024-07-02,是
RES02065,行政专员,人事部,校园招聘,2024-05-31,不通过,,,,,,,,,,,,,,,,否
RES02066,行政专员,人事部,BOSS直聘,2024-04-12,不通过,,,,,,,,,,,,,,,,否
RES02067,测试工程师,技术部,BOSS直聘,2024-04-18,不通过,,,,,,,,,,,,,,,,否
RES02068,行政专员,人事部,智联招聘,2024-04-13,通过,2024-04-15,2024-04-20,刘丽丽,通过,2024-04-25,王畅,通过,2024-04-27,李红,通过,2024-05-04,12k,12382.0,是,2024-06-08,是
RES02069,HRBP,人事部,BOSS直聘,2024-10-19,通过,2024-10-23,2024-10-28,李玉,通过,2024-10-27,刘鑫,不通过,,,,,,,,,否
RES02070,客服主管,客服部,猎头,2024-12-18,通过,2024-12-19,2024-12-22,文林,通过,2024-12-31,孙瑜,通过,2024-12-30,李楠,通过,2025-01-04,18k,17082.0,是,2025-02-07,是
RES02071,产品经理,产品部,BOSS直聘,2025-02-24,不通过,,,,,,,,,,,,,,,,否
RES02072,HRBP,人事部,智联招聘,2024-09-27,不通过,,,,,,,,,,,,,,,,否
RES02073,销售代表,销售部,BOSS直聘,2025-01-27,不通过,,,,,,,,,,,,,,,,否
RES02074,行政专员,人事部,前程无忧,2025-05-12,不通过,,,,,,,,,,,,,,,,否
RES02075,产品运营,运营部,智联招聘,2025-04-29,不通过,,,,,,,,,,,,,,,,否
RES02076,产品运营,运营部,BOSS直聘,2024-02-08,通过,2024-02-09,2024-02-16,季海燕,不通过,,,,,,,,,,,,否
RES02077,市场推广,市场部,智联招聘,2024-06-25,不通过,,,,,,,,,,,,,,,,否
RES02078,数据分析师,产品部,智联招聘,2024-10-09,不通过,,,,,,,,,,,,,,,,否
RES02079,市场推广,市场部,猎头,2025-02-16,不通过,,,,,,,,,,,,,,,,否
RES02080,销售代表,销售部,BOSS直聘,2024-05-27,不通过,,,,,,,,,,,,,,,,否
RES02081,数据分析师,产品部,前程无忧,2025-02-15,通过,2025-02-17,2025-02-24,尹丽娟,候选人放弃,,,,,,,,,,,,否
RES02082,HRBP,人事部,猎头,2024-02-09,不通过,,,,,,,,,,,,,,,,否
RES02083,数据分析师,产品部,内部推荐,2025-02-09,通过,2025-02-10,2025-02-16,车淑华,通过,2025-02-23,吕颖,通过,2025-02-28,汪秀兰,通过,2025-02-28,9k,8600.0,是,2025-03-22,是
RES02084,产品运营,运营部,猎头,2024-12-05,通过,2024-12-08,2024-12-13,柯秀珍,通过,2024-12-12,周玉英,通过,2024-12-19,高婷,通过,2024-12-24,19k,19367.0,是,2025-01-13,是
RES02085,前端开发工程师,技术部,猎头,2024-08-31,通过,2024-09-03,2024-09-09,姚丹,通过,2024-09-08,彭鑫,通过,2024-09-14,孟鹏,通过,2024-09-17,28k,28701.0,否,,否
